order_id,product_id,category,price,shipping_cost,revenue
10120,P4148,Apparel,45.06,2.8,47.86
10121,P1834,Electronics,53.93,0.76,54.69
10121,P4791,Beauty,37.53,2.58,40.11
10121,P9353,Apparel,31.95,4.02,35.97
10121,P5411,Beauty,56.08,2.55,58.63
10122,P6269,Electronics,10.48,10.31,20.79
10122,P2650,Apparel,51.95,4.37,56.32
10124,P3134,Books,12.39,8.61,21
10126,P7292,Apparel,56.58,1.76,58.34
10126,P2971,Electronics,75.16,1.1,76.26
10126,P4120,Electronics,51.58,7.66,59.24
10128,P4309,Home,103.08,13.72,116.8
10128,P4140,Sports,102.49,0.61,103.1
10128,P6690,Beauty,80.46,3.5,83.96
10129,P2109,Books,61.84,7.65,69.49
10129,P9255,Beauty,38.45,7.83,46.28
10129,P3112,Electronics,18.69,2.3,20.99
10129,P4116,Home,9.16,4.75,13.91
10130,P2228,Beauty,59.28,7.31,66.59
10130,P7393,Apparel,39.92,4.28,44.2
10130,P1058,Beauty,53.21,1.74,54.95
10130,P1145,Apparel,50.43,4.98,55.41
10131,P5971,Sports,96.48,6.97,103.45
10131,P2951,Apparel,45.54,3.56,49.1
10131,P5781,Apparel,36.57,7.08,43.65
10131,P5550,Electronics,88.05,12.49,100.54
10132,P4440,Electronics,103.94,3.89,107.83
10132,P7047,Sports,27.31,10.11,37.42
10132,P9999,Home,22.52,11.01,33.53
10133,P3895,Home,42.33,15.05,57.38
10134,P4377,Books,47.87,9.76,57.63
10134,P7479,Beauty,42.52,4.2,46.72
10134,P8109,Apparel,75.35,11.39,86.74
10134,P9125,Home,31.99,7.48,39.47
10135,P3911,Books,42.99,4.04,47.03
10135,P3351,Beauty,92.28,2.44,94.72
10136,P2633,Books,64.43,0.1,64.53
10136,P1222,Beauty,35.71,0.92,36.63
10137,P3336,Apparel,46.55,1.3,47.85
10138,P6544,Electronics,82.29,0.91,83.2
10139,P8279,Apparel,30.67,11.86,42.53
10142,P9905,Home,80.13,3.81,83.94
10142,P1347,Books,49.35,8.48,57.83
10142,P9381,Electronics,25.38,4.63,30.01
10143,P4713,Apparel,5.7,1.88,7.58
10143,P5699,Beauty,35.81,2.97,38.78
10143,P2841,Apparel,77.86,5.75,83.61
10143,P2666,Beauty,18.89,0.92,19.81
10145,P6906,Home,21.5,5.2,26.7
10145,P3917,Electronics,140.8,9.43,150.23
10145,P7967,Beauty,87.63,9.36,96.99
10146,P5348,Home,111.82,8.03,119.85
10147,P3401,Electronics,135.86,15.26,151.12
10148,P3089,Books,27.43,0.76,28.19
10148,P9097,Apparel,65.77,2.96,68.73
10148,P6463,Beauty,43.33,8.17,51.5
10148,P5028,Apparel,68.49,5.49,73.98
10149,P9633,Beauty,17.59,8.69,26.28
10149,P4593,Sports,96.2,9.87,106.07
10151,P1281,Home,5.82,8.35,14.17
10151,P2804,Home,49.38,8.04,57.42
10153,P3257,Apparel,25.32,2.16,27.48
10153,P7184,Electronics,92.74,6.77,99.51
10153,P7089,Books,8.77,9.28,18.05
10153,P2208,Electronics,69.35,6.37,75.72
10154,P3452,Electronics,50.22,6.83,57.05
10155,P5907,Books,25.42,6.79,32.21
10155,P1216,Beauty,58.04,4.35,62.39
10155,P1526,Home,21.96,0.77,22.73
10155,P1178,Sports,98.87,6.48,105.35
10157,P7941,Sports,77.38,10.26,87.64
10157,P7185,Apparel,46.33,1.33,47.66
10157,P1917,Apparel,109.95,5.78,115.73
10158,P7637,Books,78.6,4.89,83.49
10159,P4190,Electronics,127.36,10.09,137.45
10159,P6496,Home,26.18,1.21,27.39
10160,P1530,Home,37.74,3.15,40.89
10162,P6056,Electronics,12.33,1.03,13.36
10162,P7523,Electronics,108.55,8.31,116.86
10162,P6830,Sports,27.48,8.31,35.79
10162,P7672,Apparel,79.88,1.08,80.96
10163,P7260,Sports,127.97,2.34,130.31
10164,P3307,Books,44.12,3.37,47.49
10165,P9573,Sports,46.08,6.12,52.2
10165,P5765,Home,40.68,1.1,41.78
10166,P3496,Apparel,155.57,9.46,165.03
10166,P1244,Sports,101.8,7.76,109.56
10167,P5589,Apparel,78.83,1.36,80.19
10167,P3935,Sports,34.08,0.75,34.83
10167,P8753,Books,66.12,2.17,68.29
10168,P8999,Books,81.59,8.25,89.84
10168,P7701,Electronics,35.64,2.52,38.16
10168,P7008,Sports,81.02,1.13,82.15
10168,P7122,Sports,75.09,8.36,83.45
10169,P5011,Sports,141.13,0.82,141.95
10170,P3592,Apparel,72.48,2.44,74.92
10171,P2531,Apparel,66.92,7.21,74.13
10173,P6385,Beauty,122.25,3.11,125.36
10174,P3551,Electronics,27.43,0.32,27.75
10174,P1513,Beauty,17.01,1.79,18.8
10174,P6922,Sports,66.3,0.52,66.82
10174,P4465,Beauty,82.32,1.79,84.11
10175,P3322,Home,25.36,1.48,26.84
10175,P8396,Electronics,27.08,0.69,27.77
10175,P5250,Beauty,46.75,5.63,52.38
10175,P8021,Apparel,70.71,0.78,71.49
10176,P8156,Beauty,47.59,6.59,54.18
10176,P1162,Home,77.15,4.79,81.94
10176,P2274,Sports,66.99,5.02,72.01
10176,P6304,Books,57.97,5.18,63.15
10178,P3416,Electronics,22.73,5.03,27.76
10178,P7658,Beauty,95.82,1.24,97.06
10178,P8381,Home,60.64,0.04,60.68
10179,P2596,Books,75.82,15.12,90.94
10179,P7884,Electronics,42.24,15.28,57.52
10180,P4131,Sports,51.51,4.28,55.79
10180,P6960,Books,74.37,0.17,74.54
10182,P6762,Books,83.92,3.48,87.4
10182,P6502,Home,70.53,3.58,74.11
10182,P7113,Electronics,78.22,3.86,82.08
10182,P8141,Apparel,48.94,1.36,50.3
10183,P1269,Electronics,127.75,1.62,129.37
10184,P9924,Electronics,59.91,8.5,68.41
10184,P1534,Electronics,74.37,5.69,80.06
10184,P4651,Books,38.12,4.76,42.88
10184,P8693,Beauty,65.73,1.29,67.02
10185,P7484,Beauty,61.93,11.24,73.17
10185,P9315,Electronics,129.28,10.72,140
10185,P6036,Home,43.35,9.02,52.37
10187,P7792,Books,24.53,7.56,32.09
10187,P7134,Electronics,6.82,1.29,8.11
10187,P6490,Sports,69.89,5.04,74.93
10187,P4962,Apparel,80.8,8.34,89.14
10188,P1845,Apparel,53.91,3.3,57.21
10188,P7396,Sports,39.24,7.89,47.13
10188,P9475,Books,19.22,7.59,26.81
10188,P3069,Apparel,39.89,0.83,40.72
10189,P8166,Home,21.57,0.78,22.35
10189,P1455,Electronics,54.91,4.98,59.89
10190,P3138,Sports,41.37,7.25,48.62
10191,P5864,Apparel,26.04,8.05,34.09
10191,P7194,Apparel,50.79,2.2,52.99
10191,P3355,Home,61.16,2.47,63.63
10192,P2754,Electronics,77.25,9.29,86.54
10194,P1359,Apparel,67.3,7.66,74.96
10194,P2250,Beauty,21.11,14.96,36.07
10194,P6137,Apparel,110.47,5.85,116.32
10195,P3927,Apparel,20.33,0.09,20.42
10195,P1515,Books,51.67,5.26,56.93
10195,P8928,Electronics,84.73,8.61,93.34
10195,P9548,Sports,54.32,0.04,54.36
10196,P9486,Apparel,98.64,8.36,107
10198,P3073,Home,30.58,1.3,31.88
10199,P9399,Beauty,64.02,4.17,68.19
10199,P4242,Beauty,77.91,2.1,80.01
10199,P7436,Books,71.93,6.03,77.96
10200,P6222,Beauty,38.82,6.27,45.09
10200,P4272,Sports,14.04,3.22,17.26
10200,P2052,Sports,33.27,7.54,40.81
10200,P9378,Beauty,18.71,0.29,19
10202,P6286,Beauty,13.33,2.54,15.87
10202,P2190,Beauty,113.46,5.04,118.5
10202,P6151,Apparel,95.83,5.24,101.07
10203,P2085,Sports,67.95,7.55,75.5
10203,P4562,Beauty,27.83,1.78,29.61
10203,P2225,Electronics,49.58,6.02,55.6
10203,P8130,Sports,75.59,3.54,79.13
10205,P3033,Electronics,83.24,3.53,86.77
10205,P7272,Beauty,19.02,2.74,21.76
10205,P1076,Apparel,50.79,2.39,53.18
10205,P7599,Beauty,27.89,7.07,34.96
10206,P6665,Beauty,115.7,4.29,119.99
10207,P2989,Beauty,72.13,8.13,80.26
10207,P4670,Home,79.11,0.86,79.97
10207,P6289,Electronics,70.31,1.16,71.47
10207,P2442,Books,62.38,1.9,64.28
10211,P1786,Home,139.01,0.68,139.69
10212,P7218,Home,58.34,9.55,67.89
10213,P7771,Apparel,104.26,12.02,116.28
10213,P9644,Books,65.53,1.66,67.19
10213,P5596,Apparel,82.11,8.96,91.07
10214,P4971,Books,15.57,6.04,21.61
10214,P2278,Books,72.55,9.26,81.81
10214,P1215,Electronics,105.32,0.65,105.97
10215,P4418,Beauty,20.34,0.88,21.22
10215,P6134,Sports,65.31,4.32,69.63
10215,P9265,Home,61.14,5.5,66.64
10215,P6957,Electronics,77.27,1.84,79.11
10217,P6032,Electronics,50.86,2.56,53.42
10217,P2755,Sports,104.81,2.3,107.11
10219,P1468,Electronics,101.59,2.1,103.69
10219,P5351,Beauty,77.16,5.1,82.26
10220,P7058,Sports,52.37,6.12,58.49
10220,P7923,Electronics,15.58,5.3,20.88
10220,P5520,Apparel,47.23,5.57,52.8
10220,P2788,Sports,87.73,7.18,94.91
10221,P1584,Electronics,38.65,0.76,39.41
10221,P2655,Sports,44.84,0.94,45.78
10223,P6695,Beauty,29,8.81,37.81
10223,P1050,Books,37.62,6.69,44.31
10223,P8811,Electronics,26.84,10.18,37.02
10224,P4069,Apparel,30.3,0.58,30.88
10224,P1208,Home,76.15,1.19,77.34
10225,P2261,Home,13.33,15.09,28.42
10225,P6769,Apparel,108.52,13.22,121.74
10225,P5055,Beauty,94.63,7.56,102.19
10225,P5762,Beauty,26.14,12.69,38.83
10226,P6499,Apparel,99.94,1.26,101.2
10226,P9940,Beauty,66.34,4.44,70.78
10227,P8935,Books,31.77,4.35,36.12
10227,P1339,Electronics,26.76,4.36,31.12
10227,P3320,Apparel,82.33,7.2,89.53
10228,P7189,Apparel,63.96,1.63,65.59
10228,P9927,Books,14.06,2.3,16.36
10228,P3866,Beauty,83.01,7.36,90.37
10229,P9520,Home,46.87,0.54,47.41
10229,P8101,Books,51.05,8.08,59.13
10229,P6685,Beauty,78.55,10.45,89
10229,P3410,Home,22.36,0.11,22.47
10230,P5828,Home,81.28,1.01,82.29
10230,P3022,Electronics,76.48,3.39,79.87
10231,P9224,Home,27.65,12.44,40.09
10232,P4223,Electronics,74.42,1.45,75.87
10232,P4585,Beauty,62.28,0.82,63.1
10234,P6091,Electronics,75.61,7.73,83.34
10234,P6283,Apparel,49.81,5.71,55.52
10234,P5096,Sports,16.51,6.45,22.96
10234,P5997,Apparel,38.24,1.67,39.91
10235,P6132,Electronics,16.46,3.71,20.17
10235,P8673,Sports,78.9,5.99,84.89
10235,P7721,Home,39.13,3.53,42.66
10235,P7896,Beauty,7.77,4.7,12.47
10236,P5806,Apparel,54.28,7.56,61.84
10236,P7601,Electronics,64.82,3.3,68.12
10236,P9487,Books,6.07,6.78,12.85
10237,P8888,Home,96.94,12.82,109.76
10238,P1868,Electronics,118.21,10.52,128.73
10239,P4662,Sports,114.07,7.45,121.52
10239,P6093,Books,99.91,2.33,102.24
10242,P2100,Beauty,101.2,3.13,104.33
10243,P2995,Sports,75.02,0.87,75.89
10244,P3018,Sports,95.01,11.62,106.63
10244,P3321,Beauty,27.47,0.29,27.76
10244,P9956,Books,92,2.31,94.31
10245,P2758,Home,76.23,4.32,80.55
10245,P1458,Beauty,50.36,4.7,55.06
10245,P1180,Home,54.51,6.23,60.74
10245,P8282,Sports,38.59,7.13,45.72
10246,P9244,Electronics,153.35,5.58,158.93
10246,P7399,Apparel,61.19,11.01,72.2
10246,P6764,Sports,19.54,10.23,29.77
10247,P5560,Beauty,61.67,6.61,68.28
10247,P8925,Books,29.35,3.31,32.66
10247,P3955,Beauty,81.07,5.09,86.16
10250,P6703,Apparel,71.53,5.87,77.4
10250,P1736,Sports,64.06,4.03,68.09
10250,P2581,Electronics,85.88,1.59,87.47
10251,P4876,Books,58.6,8.71,67.31
10251,P7292,Electronics,103.89,2,105.89
10251,P5103,Beauty,106.3,0.71,107.01
10251,P8234,Electronics,11.64,8.6,20.24
10252,P7187,Apparel,57.16,10.89,68.05
10253,P9659,Apparel,118.46,6.77,125.23
10253,P2576,Apparel,22.92,0.38,23.3
10254,P9653,Home,37.38,11.39,48.77
10255,P2161,Electronics,41.23,5.42,46.65
10255,P5886,Sports,12.08,6.77,18.85
10256,P6863,Home,144.68,3.93,148.61
10256,P5719,Electronics,137.42,2.46,139.88
10258,P2816,Beauty,100.48,8.52,109
10258,P5309,Sports,78.98,14.31,93.29
10258,P5274,Books,14.77,5.28,20.05
10259,P1579,Apparel,82.26,12.57,94.83
10260,P1683,Sports,80.11,2.02,82.13
10261,P4214,Apparel,7.28,0.46,7.74
10261,P1296,Sports,53.28,3.18,56.46
10261,P7180,Sports,43.4,3.25,46.65
10262,P8175,Books,67.94,2.01,69.95
10262,P7024,Electronics,132.05,14.35,146.4
10262,P1949,Home,36.14,6.38,42.52
10262,P4721,Apparel,41.37,8.59,49.96
10263,P3958,Electronics,21.55,1.98,23.53
10263,P5001,Home,16.77,5.46,22.23
10264,P2258,Sports,68.33,10.26,78.59
10264,P9108,Electronics,46.83,8.48,55.31
10265,P7011,Apparel,40.38,2.54,42.92
10265,P9631,Sports,28.55,5.49,34.04
10265,P2710,Home,30.6,4.55,35.15
10266,P5996,Apparel,71.57,4.38,75.95
10266,P3325,Books,48.95,1.03,49.98
10268,P7294,Beauty,71.17,2.27,73.44
10269,P7214,Beauty,54.64,2.55,57.19
10269,P5999,Apparel,77.53,6.05,83.58
10269,P1425,Electronics,64.98,3.95,68.93
10269,P5301,Sports,87.56,3.81,91.37
10270,P8111,Electronics,32.33,6.96,39.29
10270,P1935,Beauty,66.95,7.8,74.75
10271,P9761,Books,78.71,2.42,81.13
10271,P9501,Beauty,38.83,6.04,44.87
10271,P4903,Home,18.35,3.21,21.56
10271,P5495,Apparel,76.76,2.36,79.12
10272,P5104,Electronics,53.86,3.04,56.9
10272,P3036,Books,69.12,5.11,74.23
10272,P5333,Home,50.17,2.69,52.86
10272,P1145,Apparel,40.4,0.15,40.55
10274,P2049,Home,75.93,4.63,80.56
10275,P1812,Apparel,102.18,2.29,104.47
10275,P9302,Apparel,27.07,0.6,27.67
10276,P5244,Electronics,83.87,3.28,87.15
10276,P6789,Home,11.76,12.15,23.91
10276,P6729,Sports,106,8.64,114.64
10277,P7815,Sports,34.71,6.91,41.62
10277,P3344,Electronics,55.92,7.36,63.28
10277,P6488,Electronics,31.2,6.62,37.82
10278,P1510,Beauty,79.49,2.47,81.96
10278,P3458,Apparel,34.47,2.44,36.91
10278,P6129,Sports,7.6,5.12,12.72
10279,P7243,Sports,15.15,11.34,26.49
10279,P4679,Books,21.83,1.21,23.04
10279,P9982,Sports,83.71,8.96,92.67
10279,P9646,Books,71.27,11.44,82.71
10280,P5410,Books,46.72,3.7,50.42
10280,P4998,Apparel,71.14,2.46,73.6
10280,P6930,Home,24.65,6.45,31.1
10280,P2890,Apparel,41.33,6.29,47.62
10281,P2305,Books,80.67,3.44,84.11
10281,P6935,Home,49.54,0.64,50.18
10281,P7862,Books,43.56,1.93,45.49
10281,P3052,Apparel,50.24,6.94,57.18
10282,P5264,Beauty,58.45,5.59,64.04
10282,P7692,Home,32.38,0.99,33.37
10284,P5315,Beauty,12.66,1.89,14.55
10284,P2654,Sports,113.97,7.33,121.3
10286,P7919,Sports,136.62,14.33,150.95
10286,P4955,Home,28.95,10.87,39.82
10288,P2765,Home,141.06,14.01,155.07
10290,P8354,Electronics,67.59,3.17,70.76
10292,P8816,Books,71.05,2.43,73.48
10292,P9345,Books,16.16,1.54,17.7
10292,P7060,Electronics,17.54,0.06,17.6
10292,P8185,Books,56.51,3.18,59.69
10294,P9326,Electronics,92.53,14,106.53
10294,P3923,Beauty,51.94,5.99,57.93
10294,P4451,Apparel,16.51,14.74,31.25
10297,P8191,Apparel,26.21,4.05,30.26
10297,P5250,Apparel,131.97,4.26,136.23
10297,P5565,Sports,113.78,13.66,127.44
10298,P9001,Sports,88.73,3.04,91.77
10300,P7987,Home,39.98,14.69,54.67
10301,P2965,Beauty,53.34,1.72,55.06
10301,P2423,Beauty,139.81,7.7,147.51
10302,P2295,Books,58.03,8.13,66.16
10302,P6359,Books,67.79,6.11,73.9
10302,P9402,Apparel,45.35,2.32,47.67
10303,P1628,Books,110.56,13.92,124.48
10306,P7163,Books,78.12,2.94,81.06
10307,P8938,Books,38.9,7.33,46.23
10307,P4253,Apparel,117.21,4.41,121.62
10309,P1052,Sports,135.2,11.69,146.89
10311,P4845,Beauty,83.09,7.19,90.28
10312,P5916,Sports,57.11,1.51,58.62
10312,P9031,Apparel,74.2,5.61,79.81
10312,P8880,Books,36.35,3,39.35
10312,P5706,Home,13.17,0.94,14.11
10313,P6694,Beauty,149.64,10.31,159.95
10313,P8925,Books,68.37,2,70.37
10315,P5766,Sports,53.13,2.77,55.9
10315,P7701,Home,63.63,10.48,74.11
10315,P6203,Electronics,69.64,3.81,73.45
10315,P7531,Beauty,50.86,5.2,56.06
10316,P3728,Home,75.58,3.46,79.04
10317,P6460,Books,13.48,5.92,19.4
